"Data Source","World Development Indicators",

"Last Updated Date","2019-03-21",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Channel Islands","CHI","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","81.92728","89.55921","93.94234","94.96854","92.82277","92.44915","93.41911","89.81922","","","","","","97.12237","","","","","","","","","","","","","","","","","","","","","","","","","","","","94.26261","96.46618","95.55192","95.33039","93.7303","92.7776","","",
"China","CHN","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","101.89596","102.67475","103.47473","99.06451","100.26416","102.0131","96.9683","91.84363","89.85595","","","","","","","","","89.14128","94.08483","103.23221","105.66829","106.32225","103.59868","","99.88662","","","","","",
"Cote d'Ivoire","CIV","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","38.02411","38.44892","42.39624","46.0947","49.29492","49.93779","51.78288","54.34678","58.04419","","55.37354","53.78864","46.11368","46.86857","46.25528","46.58896","43.56067","41.47623","45.20636","41.1637","42.38521","42.30236","40.86332","42.19279","39.67539","39.77299","42.66936","43.2224","49.28323","","","","","44.20244","45.23843","","46.11485","","53.78417","55.30766","54.31433","56.18912","62.13224","65.91208","73.06788","",
"Cameroon","CMR","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","48.51881","47.96139","50.05677","51.6246","52.63081","63.28177","53.46072","51.72594","51.90441","50.95636","51.14775","52.7897","54.20522","54.50799","56.15245","55.81443","","56.97853","55.70545","","","","","","","","49.49926","50.58943","","","57.98902","60.03145","","52.16893","55.53406","71.80578","71.53803","73.58619","72.63963","76.29272","","74.79705","76.22256","75.4213","70.08034","",
"Congo, Dem. Rep.","COD","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","41.38788","43.55192","","","","53.83832","56.76372","60.32235","","59.9173","62.08632","64.59206","66.99988","69.32609","","","","50.40957","","","52.33466","48.65964","56.12353","47.35751","","","","","34.89141","","","42.73933","","","","","55.4785","60.55133","63.15653","63.68167","65.61438","70.9484","69.81462","","69.9541","","","",
"Congo, Rep.","COG","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","55.71559","59.23066","68.66804","56.82407","66.25108","68.63913","71.41977","71.77421","78.62537","79.54596","77.85391","77.16315","70.87151","73.98936","71.35406","72.38435","72.85674","73.32994","67.65625","58.80952","54.36378","61.58241","63.00192","53.59834","","48.97301","","","31.18338","","56.24172","59.0997","55.80592","80.33339","70.01722","75.80953","73.95279","68.587","67.56606","67.38629","73.70126","70.30071","","","","","","",
"Colombia","COL","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","47.6361","50.90942","51.58871","54.63405","55.1382","","","","","","","","69.28217","72.52274","72.98931","67.21334","69.9712","69.46876","68.64425","68.05699","71.6812","70.57676","78.64838","79.39189","79.21365","83.44215","85.19361","","92.20902","94.35303","94.98594","92.97807","94.11946","","103.52074","108.41745","115.74745","118.56749","119.18492","124.10546","122.44015","119.93548","113.19153","102.10829","100.60181","100.46642","101.39393","105.03091","",
"Comoros","COM","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","","","","","","","","60.67085","","","","","68.1503","54.99891","","","","","45.61885","40.11248","48.32478","","","","","49.13398","","","58.13922","57.26399","61.90852","","","64.08012","73.323","","","","","74.6988","77.67992","","","76.72008","",
"Cabo Verde","CPV","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","10.24058","12.56633","19.17792","14.16831","13.74795","13.51509","16.96262","27.38109","24.86867","22.17365","31.16434","32.67949","36.05096","40.44687","46.20412","","59.55928","","","","75.33956","","","","100.15395","","104.56081","98.05833","99.41381","100.29335","98.33731","83.88751","96.1887","90.75851","96.42798","91.52585","93.67616","88.57192","89.85747","85.00439","87.82023","89.09741","85.34111","80.83018","",
