"Data Source","World Development Indicators",

"Last Updated Date","2019-03-21",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"China","CHN","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","9.56325","9.76224","10.68738","10.43901","9.46158","10.74394","","","","12.29053","14.77395","20.06494","18.71717","19.50534","","14.55141","12.63156","","","","","","","","","","","","","","","","","","","",
"Cote d'Ivoire","CIV","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.22015","18.81475","21.67118","20.80695","23.20203","22.5923","22.64823","22.10716","21.84569","20.01789","20.75588","21.52691","22.19011","22.77275","22.42686","20.85876","21.57473","21.76678","21.17322","21.27839","18.72894","",
"Cameroon","CMR","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.6837","15.73394","","21.44202","20.84712","21.37761","20.31265","21.56822","15.58864","19.77979","18.75389","14.86777","15.17622","13.82495","12.92925","13.24399","12.696","16.41877","",
"Congo, Dem. Rep.","COD","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.66111","","","16.27424","10.55392","11.73837","14.80981","10.75813","",
"Congo, Rep.","COG","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.41247","14.70778","","","14.12653","","","","9.05485","9.51995","8.56181","7.59782","","","","","28.76663","","","","7.17715","8.583","","","",
"Colombia","COL","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","18.09229","16.40752","","","","17.22545","","","","","","","","","12.47536","13.15193","13.28683","13.46772","15.29956","15.53726","15.43978","15.53561","13.76883","14.48145","14.67729","16.08117","16.41858","15.52914","15.51283","16.91362","15.84515","15.10725","16.11717","15.31722","",
"Comoros","COM","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.13507","","","","15.78972","","","","","","29.23312","","","21.41487","18.49151","16.07073","18.91154","15.26693","","","",
"Cabo Verde","CPV","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.25592","16.76194","","","19.76623","","20.84048","","17.54058","18.32875","18.24099","15.88655","14.2169","15.15328","","14.77823","16.28219","16.74823","17.84301","16.79426","",
"Costa Rica","CRI","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","30.32237","","18.36396","17.65909","","","","","","16.74369","19.11466","","","21.92369","18.81951","19.15282","19.2405","20.15172","20.43089","","20.64334","21.02189","20.81096","23.40822","22.88089","23.00962","23.50156","22.83091","23.10953","23.37343","23.4232","30.15142","",
"Caribbean small states","CSS","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.90589","13.85188","16.35377","12.75157","12.798","16.70002","15.12972","14.410475","13.716215","8.92667","11.23004","14.26386","16.07829","16.32457","13.636205","11.73302","14.26937","","17.17305","19.11938","17.55284","16.10294","18.58193","18.80926","20.57386","21.79749","20.05148","19.14512","18.40254","",
